perf	synth time
0	"0.018568529980257154,0.01948982896283269,0.031450438080355525,0.021872533950954676,0.017792897066101432,0.017309081973508,0.017551113851368427,0.017591292969882488,0.017792402068153024,0.018236769130453467"
1	"0.049520588014274836,0.04592751199379563,0.0482062769588083,0.045326365157961845,0.04371975315734744,0.04385051294229925,0.043340315110981464,0.043665928998962045,0.04395138006657362,0.04378353990614414"
0	"0.017305782064795494,0.01694784383289516,0.01706134993582964,0.017692113062366843,0.017000346910208464,0.017112852074205875,0.016541101969778538,0.016351373866200447,0.016862323973327875,0.016684772912412882"
0	"0.019207054981961846,0.019301961176097393,0.018919651163741946,0.019032954005524516,0.018026747973635793,0.017871367977932096,0.018152097007259727,0.020771999144926667,0.01813616300933063,0.017377139069139957"
0	"0.20227804803289473,0.20094611588865519,0.1940275023225695,0.19568029488436878,0.1970719420351088,0.19497634703293443,0.19707521586678922,0.19552751700393856,0.1929983999580145,0.19171865819953382"
0	"0.017557546962052584,0.01768726692534983,0.016995575046166778,0.01780446106567979,0.017052500043064356,0.016933067934587598,0.01685324707068503,0.01716836914420128,0.016891445964574814,0.016331799095496535"
1	"0.017159510869532824,0.017229860182851553,0.016388647025451064,0.016358110820874572,0.01671498198993504,0.0162679108325392,0.01592522393912077,0.01579082990065217,0.015596197918057442,0.016590286046266556"
1	"0.019038846949115396,0.01863492908887565,0.01811491814441979,0.017993925837799907,0.018726204056292772,0.018338832072913647,0.017868831986561418,0.01816813088953495,0.01828685007058084,0.018431828822940588"
1	"0.01879742997698486,0.01905989507213235,0.01877922611311078,0.018320213072001934,0.01849931082688272,0.01826610299758613,0.018695078091695905,0.018207809887826443,0.01806575316004455,0.017623109044507146"
1	"0.01705633709207177,0.017524085007607937,0.0167797040194273,0.01667987392283976,0.01689460896886885,0.015564779983833432,0.015526259085163474,0.01695942902006209,0.016496188938617706,0.016736344201490283"
1	"0.01594099518842995,0.01584280002862215,0.015414161840453744,0.015106630977243185,0.015121544944122434,0.014742763014510274,0.014594294130802155,0.014353378908708692,0.015139546012505889,0.01555289002135396"
0	"0.017313410993665457,0.01838187500834465,0.01658598310314119,0.016463707899674773,0.016212600050494075,0.015919582918286324,0.016862110001966357,0.016214478062465787,0.016558527015149593,0.01605971995741129"
1	"0.018937544897198677,0.02049742708913982,0.018698166124522686,0.018258219119161367,0.0175036140717566,0.01762071717530489,0.01791705610230565,0.01772842206992209,0.01755632390268147,0.018300771014764905"
0	"0.018731145886704326,0.018414065008983016,0.018334569176658988,0.01749087986536324,0.017309407936409116,0.017013151897117496,0.01717385184019804,0.017744004959240556,0.0178125430829823,0.017592149088159204"
0	"0.01952028996311128,0.0185306491330266,0.018078391905874014,0.01877402584068477,0.01834975299425423,0.018438556930050254,0.018160645850002766,0.018427039962261915,0.018235329072922468,0.017573215998709202"
1	"0.018496109871193767,0.018331486033275723,0.017156343907117844,0.017440677853301167,0.016947431955486536,0.017044763080775738,0.017398752039298415,0.016567521961405873,0.017289803130552173,0.016442253021523356"
1	"0.021530501078814268,0.02086606598459184,0.020457587903365493,0.020630754996091127,0.019960137084126472,0.019771444844081998,0.020856020040810108,0.020864624995738268,0.02056687092408538,0.020777528174221516"
1	"0.016268383944407105,0.015543614979833364,0.015441997908055782,0.015463418094441295,0.014872703002765775,0.015157932881265879,0.015529019059613347,0.015238038962706923,0.014768725959584117,0.014517934061586857"
1	"0.527255083899945,0.5240573312621564,0.5259922000113875,0.5289256717078388,0.533464650856331,0.5259190769866109,0.5283563770353794,0.526768108131364,0.5281555289402604,0.5241593150421977"
1	"0.01833320688456297,0.019154515117406845,0.017791062826290727,0.017613699892535806,0.017463519936427474,0.017998690018430352,0.01878472208045423,0.018755748169496655,0.01860800595022738,0.01818509097211063"
0	"0.019270431948825717,0.019287185044959188,0.0184561291243881,0.018764138920232654,0.017464173957705498,0.01795771881006658,0.017606951063498855,0.017773810075595975,0.01714829308912158,0.016377541003748775"
0	"0.01804770901799202,0.017379551893100142,0.01729875197634101,0.01789786503650248,0.017250780016183853,0.017561272019520402,0.01738522993400693,0.017317652003839612,0.01707771816290915,0.01724570500664413"
0	"0.018008271930739284,0.01858687587082386,0.017756851855665445,0.017908237874507904,0.01843046909198165,0.01846985681913793,0.017440734896808863,0.018125134985893965,0.017785941949114203,0.01823746901936829"
0	"0.020183985121548176,0.020084338961169124,0.018677750835195184,0.01987206912599504,0.019109256099909544,0.019608296919614077,0.018857764080166817,0.019166652811691165,0.018159447936341166,0.01760770194232464"
1	"0.017223286908119917,0.017895238008350134,0.01693813782185316,0.01647289306856692,0.016858247807249427,0.016857038019225,0.01634404482319951,0.016864228062331676,0.01607701787725091,0.016369024058803916"
1	"0.019031781936064363,0.019007796188816428,0.018590182065963745,0.018469661008566618,0.01831135805696249,0.018845279002562165,0.018497676821425557,0.018315307097509503,0.01772036007605493,0.017573062097653747"
1	"0.017645887099206448,0.017543378984555602,0.01684401696547866,0.016830022912472486,0.016870731953531504,0.016594812041148543,0.01730503886938095,0.017056846991181374,0.01693683094345033,0.016850724117830396"
1	"0.022835812997072935,0.02262388588860631,0.022243121871724725,0.02165513182990253,0.021372729912400246,0.021339840022847056,0.021001843037083745,0.021156009985134006,0.020132031058892608,0.019983160076662898"
0	"0.016530047869309783,0.016537957126274705,0.01659755897708237,0.01579800108447671,0.015815852908417583,0.016241539968177676,0.015832517994567752,0.016007590806111693,0.02891577803529799,0.020235541043803096"
1	"0.018664656905457377,0.017915251897647977,0.016952560050413013,0.01720392913557589,0.01730463095009327,0.017032335978001356,0.016948366072028875,0.017439763993024826,0.016256322851404548,0.016124569112434983"
1	"0.017852838849648833,0.019866334041580558,0.019046481931582093,0.01888408907689154,0.018798903794959188,0.018424859968945384,0.01811148296110332,0.018806298030540347,0.01870801905170083,0.017455213936045766"
